epoch,step,train_abs_recon_loss,train_kld_loss,train_rel_recon_loss,train_total_loss,val_abs_recon_loss,val_kld_loss,val_rel_recon_loss,val_total_loss
0,61,,,,,0.11957386136054993,2.393527030944824,0.007923147641122341,2.521024465560913
0,99,0.09046857804059982,0.9312230944633484,0.009080973453819752,1.0307726860046387,,,,
0,123,,,,,0.06972329318523407,0.6200497150421143,0.007328163366764784,0.6971011757850647
0,185,,,,,0.05595744773745537,0.31731849908828735,0.006198719143867493,0.37947481870651245
0,199,0.05810413509607315,0.34798747301101685,0.0066231610253453255,0.41271477937698364,,,,
0,247,,,,,0.05192999541759491,0.17649880051612854,0.006165323778986931,0.23459412157535553
1,299,0.05186884105205536,0.10950205475091934,0.006514771841466427,0.1678856611251831,,,,
1,311,,,,,0.048939574509859085,0.12542669475078583,0.00613855104893446,0.18050484359264374
1,373,,,,,0.047587789595127106,0.08770737051963806,0.006141359452158213,0.14143656194210052
1,399,0.05553082004189491,0.15491460263729095,0.0077638267539441586,0.21820925176143646,,,,
1,435,,,,,0.047475770115852356,0.08441467583179474,0.006120407488197088,0.13801084458827972
1,497,,,,,0.04732438549399376,0.059731967747211456,0.0061480579897761345,0.11320434510707855
1,499,0.048444271087646484,0.05762984976172447,0.0062737553380429745,0.11234787106513977,,,,
2,561,,,,,0.04647037759423256,0.04627121612429619,0.006116263102740049,0.09885788708925247
2,599,0.05399657413363457,0.07471932470798492,0.00808638520538807,0.1368022859096527,,,,
2,623,,,,,0.04658767208456993,0.04908069223165512,0.006114724092185497,0.10178309679031372
2,685,,,,,0.04632057622075081,0.04215055704116821,0.006140174809843302,0.09461132436990738
2,699,0.04694284871220589,0.05682027339935303,0.0060593131929636,0.10982243716716766,,,,
2,747,,,,,0.04644371196627617,0.035368937999010086,0.006126323249191046,0.08793893456459045
3,799,0.051927972584962845,0.03371590003371239,0.00806682463735342,0.09371069818735123,,,,
3,811,,,,,0.04613197222352028,0.027387263253331184,0.006115137133747339,0.07963436841964722
3,873,,,,,0.04602156952023506,0.026426542550325394,0.006118672899901867,0.07856675982475281
3,899,0.04175871983170509,0.02434535324573517,0.005146704614162445,0.071250781416893,,,,
3,935,,,,,0.04607238993048668,0.022990237921476364,0.006117179989814758,0.07517977058887482
3,997,,,,,0.04626261815428734,0.021906793117523193,0.006113195791840553,0.07428263872861862
3,999,0.04157287999987602,0.011008176021277905,0.005288239568471909,0.05786929652094841,,,,
4,1061,,,,,0.045796822756528854,0.01826697774231434,0.006114677060395479,0.07017846405506134
