epoch,step,train_kl_loss,train_overlap_loss,train_recon_loss,train_rel_loss,train_total_loss,val_kl_loss,val_overlap_loss,val_recon_loss,val_rel_loss,val_total_loss
0,30,,,,,,0.09116130322217941,0.3854931592941284,0.2416107952594757,0.013081679120659828,4.171067237854004
0,61,,,,,,0.44197118282318115,1.045313835144043,3.248833417892456,0.013065661303699017,13.811495780944824
0,92,,,,,,0.5598829388618469,0.3985985219478607,3.6501760482788086,0.01415234711021185,7.762911796569824
0,99,0.4952370524406433,0.0,3.1913187503814697,0.011412542313337326,3.2979049682617188,,,,,
0,123,,,,,,0.5889403820037842,1.120083212852478,2.7504067420959473,0.015982691198587418,14.090047836303711
1,155,,,,,,0.5514444708824158,29.290620803833008,2.1084327697753906,0.18255949020385742,295.9824523925781
1,186,,,,,,1.3372793197631836,0.0927746593952179,2.8410258293151855,0.10933922231197357,4.449195861816406
1,199,0.5291386246681213,0.0,1.8495402336120605,0.009836224839091301,1.9516352415084839,,,,,
1,217,,,,,,1.299173355102539,0.6691462397575378,3.3860762119293213,1.5982829332351685,18.19886589050293
1,248,,,,,,0.639837920665741,0.8615863919258118,1.694014310836792,0.016572635620832443,10.456721305847168
2,280,,,,,,0.7750369310379028,0.002083276864141226,2.9315707683563232,0.016587000340223312,3.112842321395874
2,299,0.6114364266395569,0.0,7.641844272613525,0.009649993851780891,7.7512383460998535,,,,,
2,311,,,,,,0.7274200320243835,0.00012635010352823883,4.415987014770508,0.014393220655620098,4.561959743499756
2,342,,,,,,12.31935977935791,0.0009867151966318488,7.568064212799072,13.207367897033691,74.84667205810547
2,373,,,,,,0.6774916052818298,0.16668559610843658,1.5661791563034058,0.010410519316792488,3.352837562561035
3,399,0.6033499836921692,0.0,1.4939987659454346,0.009219611994922161,1.6004319190979004,,,,,
3,405,,,,,,0.6012142896652222,0.020609373226761818,1.2352468967437744,0.011731955222785473,1.5601218938827515
3,436,,,,,,0.6784319877624512,0.01415651012212038,1.1312936544418335,0.018070561811327934,1.4310544729232788
3,467,,,,,,0.5964950323104858,0.005234935320913792,1.0337854623794556,0.00943119265139103,1.1929402351379395
3,498,,,,,,0.7792884111404419,0.00015951538807712495,1.0757015943527222,0.02135084755718708,1.2619800567626953
3,499,0.5729644298553467,0.0,0.7978342175483704,0.007930160500109196,0.8947814702987671,,,,,
4,530,,,,,,0.5697605609893799,1.789501197890786e-06,0.802507221698761,0.008688046596944332,0.9029412865638733
4,561,,,,,,0.7391129732131958,0.0009944322519004345,0.826445460319519,0.012009288184344769,0.97034752368927
4,592,,,,,,0.6625586748123169,0.0008699997561052442,0.7239158153533936,0.019824128597974777,0.8979923725128174
4,599,0.5789129734039307,0.0,0.667792558670044,0.009371748194098473,0.7725425958633423,,,,,
4,623,,,,,,1.0017627477645874,8.732498099561781e-05,0.8118828535079956,0.03035569004714489,1.064711093902588
5,655,,,,,,0.8482891917228699,0.018610166385769844,0.6441653370857239,0.1879563331604004,1.8548767566680908
5,686,,,,,,0.6848557591438293,0.0018584812059998512,0.7216812968254089,0.015877317637205124,0.8881380558013916
5,699,0.5887081027030945,0.0,0.6284574866294861,0.00850251130759716,0.7298408150672913,,,,,
5,717,,,,,,0.6836206912994385,0.0019920789636671543,0.5690674781799316,0.013780997134745121,0.7262553572654724
5,748,,,,,,0.7008915543556213,5.3537674830295146e-05,0.7771405577659607,0.010919153690338135,0.9023611545562744
6,780,,,,,,0.9658764004707336,2.7184825739823282e-05,0.986933171749115,0.014660944230854511,1.1570969820022583
