epoch,step,train_abs_recon_loss,train_kld_loss,train_rel_recon_loss,train_total_loss,val_abs_recon_loss,val_kld_loss,val_rel_recon_loss,val_total_loss
0,61,,,,,0.12939698994159698,2.698025941848755,0.00796836894005537,2.835390090942383
0,99,0.09431574493646622,1.30463445186615,0.008414956741034985,1.4073652029037476,,,,
0,123,,,,,0.07494862377643585,0.7222460508346558,0.0073461816646158695,0.8045409917831421
0,185,,,,,0.05793633684515953,0.30571186542510986,0.00633555231615901,0.3699839115142822
0,199,0.05783630907535553,0.24109402298927307,0.006111295893788338,0.3050416111946106,,,,
0,247,,,,,0.05059000104665756,0.20236246287822723,0.006289246957749128,0.25924167037010193
1,299,0.04864867776632309,0.16015174984931946,0.005703544244170189,0.21450397372245789,,,,
1,311,,,,,0.04798215627670288,0.13361915946006775,0.006228562444448471,0.187829852104187
1,373,,,,,0.04643597826361656,0.11819757521152496,0.006197493523359299,0.17083102464675903
1,399,0.04968130588531494,0.10419435799121857,0.00715230219066143,0.1610279679298401,,,,
1,435,,,,,0.04536580294370651,0.07954059541225433,0.00617600791156292,0.1310824751853943
1,497,,,,,0.04470902681350708,0.06416967511177063,0.006177267525345087,0.11505599319934845
1,499,0.04843873530626297,0.06800420582294464,0.007833089679479599,0.12427602708339691,,,,
2,561,,,,,0.045169610530138016,0.05741095542907715,0.006203872617334127,0.10878440737724304
2,599,0.043884892016649246,0.06974568217992783,0.005540100391954184,0.1191706731915474,,,,
2,623,,,,,0.0451444648206234,0.04990746080875397,0.006178888957947493,0.10123081505298615
2,685,,,,,0.04481032118201256,0.041394542902708054,0.0062082367949187756,0.09241309016942978
2,699,0.04946979507803917,0.053683556616306305,0.006888552103191614,0.11004190146923065,,,,
2,747,,,,,0.044042740017175674,0.033606305718421936,0.006187475752085447,0.08383651822805405
3,799,0.04697813466191292,0.04008381813764572,0.006962617393583059,0.09402456879615784,,,,
3,811,,,,,0.04359714314341545,0.03237329423427582,0.0061706667765975,0.08214109390974045
3,873,,,,,0.04451747238636017,0.03094162605702877,0.006157283671200275,0.08161638677120209
3,899,0.03818690404295921,0.012210485525429249,0.0050938744097948074,0.055491264909505844,,,,
3,935,,,,,0.043357934802770615,0.02686065249145031,0.006174070294946432,0.07639263570308685
3,997,,,,,0.04357437789440155,0.023967156186699867,0.00614952901378274,0.07369106262922287
3,999,0.04657864570617676,0.009294179268181324,0.006437420845031738,0.062310244888067245,,,,
4,1061,,,,,0.04369979724287987,0.0195756983011961,0.006173016037791967,0.06944853812456131
4,1099,0.04535502567887306,0.015179413370788097,0.006414769217371941,0.06694920361042023,,,,
4,1123,,,,,0.043698154389858246,0.020100601017475128,0.006151249166578054,0.06994997709989548
4,1185,,,,,0.0432119257748127,0.016957959160208702,0.006142487749457359,0.06631238758563995
4,1199,0.04476189985871315,0.01050354540348053,0.006301388144493103,0.06156683340668678,,,,
4,1247,,,,,0.04292485490441322,0.015198768116533756,0.006151859182864428,0.06427547335624695
5,1299,0.04579142481088638,0.025890663266181946,0.005855188239365816,0.07753727585077286,,,,
5,1311,,,,,0.04353955015540123,0.014945192262530327,0.006154526490718126,0.06463925540447235
5,1373,,,,,0.04299073666334152,0.013903778046369553,0.006156389135867357,0.06305094063282013
5,1399,0.03803538158535957,0.0058685303665697575,0.005756081081926823,0.04965999349951744,,,,
5,1435,,,,,0.042955994606018066,0.012671655043959618,0.006142070051282644,0.06176970526576042
5,1497,,,,,0.042690109461545944,0.012854592874646187,0.006147186737507582,0.06169189140200615
5,1499,0.038836222141981125,0.007957497611641884,0.005301105789840221,0.052094824612140656,,,,
6,1561,,,,,0.0428396500647068,0.012568238191306591,0.006159630604088306,0.0615675188601017
6,1599,0.047021251171827316,0.008363351225852966,0.006868335418403149,0.062252938747406006,,,,
6,1623,,,,,0.04249051585793495,0.012115868739783764,0.006136533338576555,0.06074293702840805
6,1685,,,,,0.04298410937190056,0.010271155275404453,0.006146525032818317,0.05940179154276848
6,1699,0.04606705531477928,0.006887534167617559,0.007846249267458916,0.060800835490226746,,,,
6,1747,,,,,0.04260195046663284,0.008727263659238815,0.006134410388767719,0.057463616132736206
7,1799,0.036463964730501175,0.0062209488824009895,0.005104796960949898,0.04778971150517464,,,,
7,1811,,,,,0.042552366852760315,0.009290128014981747,0.0061294445767998695,0.05797198787331581
7,1873,,,,,0.04260081797838211,0.009224770590662956,0.006133946590125561,0.057959530502557755
7,1899,0.03922973573207855,0.00805747788399458,0.005114424042403698,0.05240163952112198,,,,
7,1935,,,,,0.04242945834994316,0.008523824624717236,0.0061277286149561405,0.05708099529147148
7,1997,,,,,0.042700815945863724,0.00888537522405386,0.006155987270176411,0.057742178440093994
7,1999,0.038978323340415955,0.004571676254272461,0.00507226912304759,0.04862226918339729,,,,
8,2061,,,,,0.04243553802371025,0.007926627062261105,0.006147140171378851,0.056509289890527725
